CID,State,ZIP,Region
1700,MT,59821,West
850,ND,58068,Midwest
280,NY,10007,Northeast
1574,WY,83120,West
110,CO,80403,West
854,MI,49307,Midwest
799,MO,65740,Midwest
818,MO,63628,Midwest
126,NV,89046,West
2393,NE,68743,Midwest
907,MN,56385,Midwest
836,NE,68358,Midwest
1667,PA,16034,Northeast
1922,SD,57312,Midwest
1766,PA,15237,Northeast
1329,OR,97630,West
136,NV,89118,West
1809,UT,84336,West
1485,CA,95117,West
494,CA,93226,West
1643,NM,88424,West
1656,KS,67669,Midwest
1799,NJ,7857,Northeast
121,NM,87418,West
997,AL,36529,South
174,ID,83444,West
932,IL,61453,Midwest
852,IA,50655,Midwest
1015,MI,49093,Midwest
990,WI,53930,Midwest
55,NY,14032,Northeast
1967,AZ,85935,West
471,OR,97221,West
2330,WA,99217,West
1795,MO,64744,Midwest
1956,AZ,85220,West
1547,OH,44853,Midwest
2411,IN,46814,Midwest
1106,CA,96105,West
2353,LA,71075,South
2347,MN,55119,Midwest
2603,OK,73628,South
877,KS,67109,Midwest
133,CO,80019,West
1287,TX,76882,South
503,CA,93943,West
502,CA,92336,West
1049,NC,28621,South
1235,OH,43318,Midwest
1037,WI,54963,Midwest
2397,FL,32210,South
2060,CA,90260,West
2375,MN,55909,Midwest
1144,OK,73549,South
501,WA,98003,West
493,CA,90242,West
2465,GA,31023,South
2018,AZ,85708,West
912,KS,66716,Midwest
156,CO,80102,West
2380,WA,98662,West
2490,AR,71835,South
1831,NJ,7457,Northeast
1041,MI,48906,Midwest
2072,TX,75149,South
2425,TN,38132,South
1392,OR,97214,West
1205,KS,67952,Midwest
397,NM,87832,West
2552,GA,31217,South
473,ID,83243,West
584,NY,14879,Northeast
1241,WV,25143,South
1350,NC,28202,South
1878,WY,82520,West
400,CO,80120,West
410,CO,81090,West
1113,IA,52345,Midwest
1171,FL,33890,South
1151,MO,63769,Midwest
2531,NE,68748,Midwest
2495,KY,41571,South
1186,WI,54846,Midwest
810,CA,93536,West
1975,PA,15017,Northeast
2309,AZ,85131,West
925,WV,25515,South
2169,SD,57015,Midwest
2051,PA,18644,Northeast
1213,VA,22469,South
2331,TX,78041,South
2313,CA,95562,West
2078,MO,63530,Midwest
2480,MN,55718,Midwest
1945,KS,67578,Midwest
2097,NJ,8344,Northeast
2075,LA,70759,South
1315,AL,36912,South
1130,ND,58792,Midwest
1249,SC,29547,South
1070,MI,48328,Midwest
2608,TX,77010,South
2028,MS,39039,South
1064,MO,64631,Midwest
1306,MI,48015,Midwest
402,NV,89429,West
1173,FL,33540,South
1302,WI,53098,Midwest
1190,NE,69149,Midwest
1660,OR,97394,West
1029,AL,36540,South
392,NV,89801,West
2076,UT,84325,West
1149,CA,92127,West
1943,NM,87120,West
2485,WA,98164,West
1883,DC,20020,South
2466,MD,21838,South
2003,MT,59833,West
1858,NC,27023,South
974,SC,29340,South
1200,MN,56287,Midwest
1391,OK,73082,South
774,WA,98406,West
2116,NC,28708,South
736,CA,93313,West
2243,AZ,86413,West
1609,TX,78641,South
1418,CA,93065,West
785,OR,97874,West
783,CA,95386,West
1602,OH,44084,Midwest
1707,MS,38619,South
1629,DC,20011,South
442,CO,80514,West
870,WI,53806,Midwest
843,CA,95638,West
2512,IN,46614,Midwest
2102,MS,38628,South
1246,MN,56435,Midwest
2471,LA,70544,South
2501,FL,33957,South
1879,CA,95573,West
2567,GA,30132,South
2479,MD,21557,South
1156,IA,50167,Midwest
1140,MO,65324,Midwest
2508,KY,42280,South
2011,PA,19425,Northeast
1584,TX,79057,South
1145,MI,49686,Midwest
2572,AR,72047,South
913,VA,24520,South
1245,VA,24340,South
2108,MO,65807,Midwest
1236,IL,60622,Midwest
1833,OH,45247,Midwest
2529,TN,37385,South
432,CO,80266,West
2357,MD,20779,South
890,FL,33853,South
1346,TX,77024,South
2621,OK,73173,South
2355,TX,76636,South
1669,TX,78656,South
2611,TX,75433,South
936,FL,32208,South
777,CA,95664,West
2295,TX,79068,South
1451,OK,74074,South
1274,TX,76858,South
2406,KY,40402,South
2144,TX,75040,South
973,MN,55771,Midwest
215,ID,83525,West
1607,WY,82831,West
2437,NE,69042,Midwest
1813,PA,15784,Northeast
1692,KS,67757,Midwest
559,CA,95765,West
155,NV,89311,West
1719,PA,16148,Northeast
1693,NM,87122,West
150,NM,88324,West
860,MO,65633,Midwest
1536,CA,94801,West
1003,IL,62803,Midwest
524,OR,97250,West
1744,MT,59414,West
2368,LA,70773,South
1773,MS,38826,South
931,FL,33548,South
1169,OK,74085,South
1231,WI,54873,Midwest
